Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cervellini, M; Zannini, P; Di Musciano, M; Fattorini, S; Jiménez-Alfaro, B; Rocchini, D; Field, R; Vetaas, O; Irl, SD; ","H., Beierkuhnlein, C., Hoffmann, S., Fischer, J","C., Casella, L., Angelini, P., Genovesi, P., Nascimbene, J. & Chiarucci, A",,,,2020,
"Iannella, Mattia; Masciulli, Urbana; Cerasoli, Francesco; Di Musciano, Michele; Biondi, Maurizio; ",Assessing future shifts in habitat suitability and connectivity to old-growth forests to support the conservation of the endangered giant noctule,PeerJ,10,,e14446,2022,PeerJ Inc.
"Thouverai, Elisa; Marcantonio, Matteo; Cosma, Emanuela; Bottegoni, Francesca; Gatti, Roberto Cazzolla; Conti, Luisa; Di Musciano, Michele; Malavasi, Marco; Moudrý, Vítězslav; Šímová, Petra; ",Helical graphs to visualize the NDVI temporal variation of forest vegetation in an open source space,Ecological Informatics,74,,101956,2023,Elsevier
"Cervellini, Marco; Di Musciano, Michele; Zannini, Piero; Fattorini, Simone; Agrillo, Emiliano; Attorre, Fabio; Angelini, Pierangela; Beierkuhnlein, Carl; Casella, Laura; Field, Richard; ",Dataframe from: Diversity of European habitat types is correlated with geography more than climate and human pressure,,,,,2022,Dryad
"Alessi, Nicola; Bonari, Gianmaria; Zannini, Piero; Jiménez‐Alfaro, Borja; Agrillo, Emiliano; Attorre, Fabio; Canullo, Roberto; Casella, Laura; Cervellini, Marco; Chelli, Stefano; ",Probabilistic and preferential sampling approaches offer integrated perspectives of Italian forest diversity,Journal of Vegetation Science,34,1,e13175,2023,
"Thouverai, Elisa; Marcantonio, Matteo; Lenoir, Jonathan; Galfré, Mariasole; Marchetto, Elisa; Bacaro, Giovanni; Gatti, Roberto Cazzolla; Da Re, Daniele; Di Musciano, Michele; Furrer, Reinhard; ",Integrals of life: Tracking ecosystem spatial heterogeneity from space through the area under the curve of the parametric Rao’s Q index,Ecological Complexity,52,,101029,2022,Elsevier
"Gigante, D; Selvaggi, A; Acosta, ATR; Adorni, M; Allegrezza, M; Angiolini, C; Armiraglio, S; Assini, S; Attorre, F; Bagella, S; ","Il Reporting ex-Art. 17 degli Habitat di All. I alla Direttiva 92/43/CEE in Italia: metodi, criticità, stato dell'arte e prospettive future",53° Congresso della Società Italiana di Scienza della Vegetazione-Gestione sostenibile degli habitat: plant traits biodiversità servizi ecosistemici-Abstract book,,,42-43,2019,Società Italiana di Scienza della Vegetazione
"Alessi, N; Bonari, G; Zannini, P; Agrillo, E; Attorre, F; Canullo, R; Casella, L; Cervellini, M; Chelli, S; Di Musciano, M; ",The aggregation of preferential and probabilistic datasets to investigate Italian forests: a case-study through the LifeWatch infrastructure.,Revegetating Europe–Contributions of the EVS to the UN Decade on Ecosystem Restoration,,,4-4,2021,European Vegetation Survey (Working Group of the International Association …
"Rocchini, Duccio; Tordoni, Enrico; Marchetto, Elisa; Marcantonio, Matteo; Barbosa, A Márcia; Bazzichetto, Manuele; Beierkuhnlein, Carl; Castelnuovo, Elisa; Gatti, Roberto Cazzolla; Chiarucci, Alessandro; ",A quixotic view of spatial bias in modelling the distribution of species and their diversity,npj Biodiversity,2,1,10,2023,Nature Publishing Group UK London
"Kemppinen, Julia; Lembrechts, Jonas; Van Meerbeek, Koenraad; Carnicer, Jofre; Chardon, Nathalie Isabelle; Kardol, Paul; Lenoir, Jonathan; Liu, Daijun; Maclean, Ilya; Pergl, Jan; ","Microclimate, an inseparable part of ecology and biogeography",,,,,2023,
